method,path,code,size,latency
PUT,"/doc/1","200",265,21.925
PUT,"/doc/1","200",265,5.691
POST,"/doc/178","200",166,1170.919
POST,"/doc/179","200",165,1142.058
POST,"/doc/180","200",165,1181.870
PUT,"/doc/18","200",271,1256.074
PUT,"/doc/18","200",269,1185.598
PUT,"/doc/18","200",269,1176.573
PUT,"/doc/18","200",269,996.706
PUT,"/doc/18","200",271,738.769
PUT,"/doc/18","200",269,78.724
POST,"/doc/181","200",166,83.778
PUT,"/doc/18","200",269,30.644
PUT,"/doc/18","200",267,867.683
POST,"/doc/182","200",166,971.495
POST,"/doc/183","200",166,1183.253
POST,"/doc/45","200",165,1037.185
PUT,"/doc/1","200",265,151.689
POST,"/doc/184","200",166,1411.560
PUT,"/doc/18","200",271,2353.486
PUT,"/doc/18","200",271,2244.084
PUT,"/doc/18","200",269,1542.261
PUT,"/doc/1","200",265,1118.916
PUT,"/doc/1","200",265,1120.498
POST,"/doc/185","200",166,1360.144
PUT,"/doc/1","200",265,80.334
POST,"/doc/186","200",166,1251.092
PUT,"/doc/18","200",271,1454.790
POST,"/doc/187","200",166,1288.383
PUT,"/doc/18","200",271,1302.023
PUT,"/doc/18","200",269,984.342
POST,"/doc/188","200",166,1276.689
PUT,"/doc/18","200",269,155.022
POST,"/doc/189","200",166,138.744
PUT,"/doc/18","200",269,106.831
POST,"/doc/190","200",165,153.344
POST,"/doc/191","200",165,96.130
GET,"/doc/3","200",1323,0.775
PUT,"/doc/1","200",265,423.338
POST,"/doc/192","200",164,1039.752
POST,"/doc/15","200",164,872.031
POST,"/doc/193","200",166,980.780
POST,"/doc/194","200",166,964.091
PUT,"/doc/18","200",269,1034.260
POST,"/doc/195","200",166,36.891
PUT,"/doc/18","200",271,1138.342
PUT,"/doc/18","200",267,707.231
PUT,"/doc/18","200",269,621.007
PUT,"/doc/18","200",267,75.505
POST,"/doc/196","200",166,75.978
PUT,"/doc/18","200",265,43.502
POST,"/doc/197","200",165,100.090
POST,"/doc/192","200",164,62.118
PUT,"/doc/18","200",271,62.453
PUT,"/doc/18","200",269,62.866
PUT,"/doc/18","200",265,63.877
POST,"/doc/198","200",164,1.300
PUT,"/doc/18","200",269,12.869
PUT,"/doc/18","200",269,14.683
PUT,"/doc/18","200",267,5.192
POST,"/doc/199","200",166,1028.978
POST,"/doc/200","200",165,230.808
PUT,"/doc/18","200",267,1103.162
PUT,"/doc/18","200",269,1117.111
POST,"/doc/201","200",165,94.337
PUT,"/doc/1","200",265,140.969
PUT,"/doc/18","200",269,1078.977
